Year;Country;GDP;FBK;FBKporc;FBKF;Pop;GDPcap
1965;COL;105609000000000;12300000000000;14.7252;14700000000000;18725245;5639913
1966;COL;111139000000000;16000000000000;19.0585;16700000000000;19279740;5764559
1967;COL;115735000000000;14500000000000;16.9980;18200000000000;19837510;5834132
1968;COL;122601000000000;16600000000000;19.0902;20700000000000;20393699;6011726
1969;COL;130083000000000;16300000000000;17.8773;22700000000000;20942456;6211454
1970;COL;138158000000000;21000000000000;20.2323;25400000000000;21480065;6431936
1971;COL;146394000000000;21900000000000;19.4155;26700000000000;22003980;6653053
1972;COL;157621000000000;21400000000000;18.1268;26100000000000;22516425;7000258
1973;COL;168218000000000;23300000000000;18.2699;28400000000000;23024517;7306019
1974;COL;177883000000000;28000000000000;21.4558;30900000000000;23538386;7557142
1975;COL;182016000000000;22900000000000;16.9925;29700000000000;24065507;7563340
1976;COL;190622000000000;25100000000000;17.5627;32500000000000;24608113;7746306
1977;COL;198549000000000;29100000000000;18.7520;32700000000000;25164545;7890030
1978;COL;215366000000000;31100000000000;18.2843;35800000000000;25733673;8369031
1979;COL;226951000000000;31000000000000;18.1510;37200000000000;26312994;8625043
1980;COL;236227000000000;34400000000000;19.0685;42100000000000;26900506;8781507
1981;COL;241606000000000;39000000000000;20.6240;44700000000000;27496617;8786738
1982;COL;243897000000000;41000000000000;20.4871;46000000000000;28101819;8679047
1983;COL;247736000000000;40200000000000;19.8932;46600000000000;28714190;8627645
1984;COL;256037000000000;37800000000000;18.9650;47100000000000;29331238;8729147
1985;COL;263992000000000;34100000000000;19.0409;44700000000000;29951201;8814071
1986;COL;279367000000000;35600000000000;18.0012;48100000000000;30572478;9137863
1987;COL;294366000000000;38900000000000;19.9975;48500000000000;31195413;9436199
1988;COL;306330000000000;42000000000000;21.9897;53800000000000;31822525;9626190
1989;COL;316788000000000;39000000000000;19.9758;50900000000000;32457499;9760089
1990;COL;330353000000000;38500000000000;20.6067;49200000000000;33102575;9979675
1991;COL;336965000000000;35100000000000;19.1055;46200000000000;33758337;9981691
1992;COL;350595000000000;50200000000000;20.5545;51900000000000;34422569;10185042
1993;COL;369476000000000;69400000000000;24.9421;70800000000000;35091275;10529008
1994;COL;390960000000000;88000000000000;25.5384;85900000000000;35758979;10933201
1995;COL;411300000000000;93300000000000;25.7987;86700000000000;36421438;11292788
1996;COL;419755000000000;82100000000000;22.1509;85500000000000;37076387;11321364
1997;COL;434154000000000;81600000000000;20.9238;83800000000000;37723800;11508759
1998;COL;436628000000000;76400000000000;19.7281;78500000000000;38364309;11381095
1999;COL;418272000000000;46900000000000;12.8801;51400000000000;38999471;10725068
2000;COL;430506000000000;52700000000000;14.8956;50300000000000;39629968;10863139
2001;COL;437729000000000;57100000000000;16.0323;55200000000000;40255967;10873650
2002;COL;448690000000000;62800000000000;17.2515;61400000000000;40875360;10977027
2003;COL;466271000000000;70000000000000;18.6818;68400000000000;41483869;11239811
2004;COL;491137000000000;77800000000000;19.4410;76000000000000;42075955;11672633
2005;COL;514253000000000;87700000000000;20.4430;86100000000000;42647723;12058154
2006;COL;549116000000000;104000000000000;22.2098;103000000000000;43200897;12710757
2007;COL;586723000000000;119000000000000;22.6221;123000000000000;43737516;13414643
2008;COL;605833000000000;128000000000000;22.5540;119000000000000;44254975;13689602
2009;COL;613136000000000;122000000000000;21.4881;124000000000000;44750054;13701343
2010;COL;639792000000000;133000000000000;21.1126;133000000000000;45222700;14147591
2011;COL;686897000000000;158000000000000;22.2280;152000000000000;45663099;15042719
2012;COL;713707000000000;163000000000000;22.2206;157000000000000;46076848;15489496
2013;COL;746301000000000;173000000000000;22.4876;166000000000000;46497267;16050432
2014;COL;781589000000000;194000000000000;24.0033;183000000000000;46969209;16640448
2015;COL;804692000000000;191000000000000;23.7737;188000000000000;47520667;16933517
2016;COL;821489000000000;191000000000000;23.1674;183000000000000;48171392;17053462
2017;COL;832590000000000;185000000000000;21.6192;186000000000000;48901066;17026009
2018;COL;853981000000000;191000000000000;21.2079;189000000000000;49648685;17200477
1965;THA;533899000000;155000000000;19;138000000000;31822660;16777
1966;THA;593282000000;204000000000;22;168000000000;32789130;18094
1967;THA;644399000000;225000000000;22;207000000000;33778799;19077
1968;THA;696738000000;251000000000;23;225000000000;34791409;20026
1969;THA;742379000000;299000000000;24;253000000000;35827092;20721
1970;THA;827070000000;320000000000;26;296000000000;36884536;22423
1971;THA;867558000000;311000000000;24;298000000000;37963278;22853
1972;THA;904676000000;291000000000;22;300000000000;39058603;23162
1973;THA;997283000000;393000000000;27;331000000000;40159582;24833
1974;THA;1041820000000;379000000000;27;330000000000;41252324;25255
1975;THA;1093610000000;387000000000;27;327000000000;42326312;25838
1976;THA;1195610000000;389000000000;24;370000000000;43377271;27563
1977;THA;1313290000000;488000000000;27;459000000000;44405904;29575
1978;THA;1448510000000;576000000000;28;509000000000;45413080;31896
1979;THA;1526320000000;552000000000;27;530000000000;46401754;32894
1980;THA;1605280000000;561000000000;29;549000000000;47374472;33885
1981;THA;1700110000000;608000000000;30;585000000000;48326274;35180
1982;THA;1791100000000;569000000000;27;582000000000;49255900;36363
1983;THA;1891120000000;692000000000;30;667000000000;50173924;37691
1984;THA;1999910000000;729000000000;29;706000000000;51094868;39141
1985;THA;2092850000000;703000000000;28;679000000000;52026901;40226
1986;THA;2208660000000;675000000000;26;675000000000;52980094;41688
1987;THA;2418900000000;802000000000;28;799000000000;53945881;44839
1988;THA;2740330000000;1030000000000;33;974000000000;54891520;49923
1989;THA;3074390000000;1210000000000;35;1190000000000;55772169;55124
1990;THA;3417710000000;1590000000000;41;1550000000000;56558186;60428
1991;THA;3710210000000;1800000000000;43;1740000000000;57232465;64827
1992;THA;4010120000000;1890000000000;40;1860000000000;57811021;69366
1993;THA;4340990000000;2060000000000;40;2030000000000;58337773;74411
1994;THA;4688140000000;2310000000000;41;2270000000000;58875269;79628
1995;THA;5068830000000;2620000000000;43;2530000000000;59467274;85237
1996;THA;5355340000000;2760000000000;43;2710000000000;60130186;89062
1997;THA;5207870000000;2100000000000;34;2120000000000;60846582;85590
1998;THA;4810320000000;1090000000000;20;1190000000000;61585103;78108
1999;THA;5030260000000;1120000000000;20;1130000000000;62298571;80744
2000;THA;5254390000000;1210000000000;22;1170000000000;62952642;83466
2001;THA;5435360000000;1220000000000;23;1190000000000;63539196;85543
2002;THA;5769580000000;1310000000000;23;1260000000000;64069087;90052
2003;THA;6184370000000;1470000000000;24;1420000000000;64549866;95808
2004;THA;6573330000000;1700000000000;26;1650000000000;64995299;101135
2005;THA;6848610000000;2070000000000;30;1890000000000;65416189;104693
2006;THA;7188840000000;1950000000000;27;1930000000000;65812536;109232
2007;THA;7579560000000;1970000000000;25;1970000000000;66182067;114526
2008;THA;7710360000000;2150000000000;28;2010000000000;66530984;115891
2009;THA;7657100000000;1610000000000;21;1800000000000;66866839;114513
2010;THA;8232420000000;2110000000000;25;2000000000000;67195028;122515
2011;THA;8301570000000;2170000000000;27;2100000000000;67518382;122953
